iter	Passed	Remaining
417	2242	3122
418	2246	3114
419	2250	3107
420	2255	3101
421	2259	3094
422	2263	3087
423	2268	3082
424	2273	3075
425	2277	3068
426	2281	3061
427	2287	3057
428	2291	3049
429	2295	3042
430	2300	3036
431	2305	3031
432	2309	3023
433	2313	3016
434	2318	3011
435	2321	3003
436	2325	2996
437	2329	2989
438	2337	2986
439	2342	2980
440	2345	2973
441	2352	2969
442	2355	2961
443	2359	2954
444	2364	2949
445	2370	2945
446	2375	2938
447	2380	2932
448	2385	2927
449	2388	2919
450	2392	2912
451	2399	2908
452	2402	2901
453	2406	2894
454	2410	2886
455	2416	2883
456	2420	2876
457	2424	2868
458	2429	2863
459	2437	2861
460	2442	2855
461	2449	2852
462	2452	2844
463	2455	2836
464	2461	2831
465	2465	2825
466	2469	2818
467	2472	2810
468	2478	2806
469	2483	2800
470	2488	2794
471	2494	2790
472	2498	2784
473	2503	2777
474	2507	2771
475	2515	2768
476	2519	2762
477	2523	2755
478	2533	2755
479	2538	2750
480	2546	2747
481	2550	2740
482	2553	2733
483	2558	2727
484	2563	2721
485	2566	2714
486	2570	2707
487	2575	2702
488	2579	2695
489	2583	2689
490	2587	2682
491	2595	2679
492	2599	2672
493	2602	2665
494	2608	2660
495	2612	2654
496	2616	2647
497	2620	2641
498	2626	2636
499	2630	2630
500	2634	2624
501	2640	2618
502	2644	2613
503	2648	2606
504	2651	2599
505	2658	2595
506	2662	2588
507	2666	2582
508	2670	2576
509	2675	2570
510	2680	2564
511	2684	2558
512	2689	2553
513	2693	2547
514	2697	2540
515	2701	2533
516	2709	2531
517	2713	2525
518	2717	2518
519	2723	2513
520	2727	2508
521	2731	2501
522	2738	2497
523	2743	2491
524	2747	2485
525	2751	2479
526	2756	2474
527	2760	2468
528	2764	2461
529	2770	2457
530	2775	2451
531	2778	2444
532	2782	2437
533	2788	2433
534	2792	2427
535	2796	2420
536	2801	2415
537	2806	2409
538	2810	2403
539	2814	2397
540	2819	2392
541	2823	2386
542	2827	2379
543	2831	2373
544	2837	2369
545	2842	2363
546	2846	2357
547	2852	2352
548	2855	2345
549	2859	2339
550	2862	2332
551	2870	2329
552	2875	2324
553	2879	2317
554	2884	2312
555	2888	2306
556	2892	2300
557	2896	2294
558	2902	2290
559	2906	2283
560	2910	2277
561	2919	2275
562	2923	2269
563	2927	2263
564	2938	2262
565	2944	2257
566	2950	2253
567	2954	2247
568	2958	2240
569	2963	2235
570	2968	2230
571	2972	2224
572	2976	2218
573	2981	2213
574	2985	2206
575	2989	2200
576	2994	2195
577	2999	2189
578	3002	2183
579	3006	2177
580	3011	2171
581	3015	2165
582	3019	2159
583	3022	2153
584	3026	2147
585	3032	2142
586	3037	2136
587	3040	2130
588	3046	2125
589	3049	2119
590	3053	2112
591	3056	2106
592	3062	2101
593	3066	2095
594	3070	2089
595	3075	2085
596	3080	2079
597	3084	2073
598	3087	2067
599	3096	2064
600	3100	2058
601	3103	2052
602	3109	2046
603	3113	2041
604	3117	2035
605	3122	2030
606	3128	2025
607	3132	2019
608	3136	2013
609	3145	2011
610	3150	2005
611	3154	2000
612	3160	1995
613	3164	1989
614	3168	1983
615	3174	1978
616	3179	1973
617	3183	1967
618	3186	1961
619	3192	1956
620	3195	1950
621	3199	1944
622	3203	1938
623	3208	1933
624	3212	1927
625	3215	1921
626	3219	1915
627	3225	1910
628	3229	1905
629	3234	1899
630	3241	1895
631	3246	1890
632	3250	1884
633	3255	1879
634	3259	1873
635	3263	1867
636	3266	1861
637	3273	1857
638	3277	1851
639	3281	1845
640	3286	1840
641	3291	1835
642	3295	1829
643	3298	1823
644	3303	1818
645	3309	1813
646	3312	1807
647	3317	1801
648	3326	1798
649	3330	1793
650	3339	1790
651	3344	1785
652	3349	1779
653	3356	1775
654	3360	1770
655	3364	1764
656	3371	1760
657	3375	1754
658	3379	1748
659	3382	1742
660	3387	1737
661	3391	1731
662	3395	1725
663	3401	1721
664	3405	1715
665	3409	1709
666	3413	1704
667	3419	1699
668	3423	1693
669	3427	1688
670	3431	1682
671	3439	1678
672	3441	1671
673	3445	1666
674	3450	1661
675	3454	1655
676	3458	1650
677	3462	1644
678	3467	1639
679	3472	1634
680	3476	1628
681	3479	1622
682	3485	1617
683	3489	1612
684	3493	1606
685	3497	1600
686	3502	1595
687	3506	1590
688	3510	1584
689	3516	1579
690	3520	1574
691	3523	1568
692	3527	1562
693	3532	1557
694	3537	1552
695	3540	1546
696	3545	1541
697	3550	1536
698	3555	1531
699	3559	1525
700	3565	1520
701	3569	1515
702	3572	1509
703	3576	1503
704	3583	1499
705	3586	1493
706	3590	1487
707	3597	1483
708	3601	1478
709	3605	1472
710	3611	1468
711	3615	1462
712	3619	1457
713	3623	1451
714	3628	1446
715	3632	1440
716	3636	1435
717	3640	1429
718	3648	1425
719	3652	1420
720	3655	1414
721	3661	1409
722	3665	1404
723	3668	1398
724	3672	1393
725	3678	1388
726	3682	1382
727	3686	1377
728	3690	1371
729	3696	1367
730	3700	1361
731	3704	1356
732	3709	1351
733	3713	1345
734	3717	1340
735	3721	1334
736	3729	1330
737	3733	1325
738	3737	1320
739	3748	1316
740	3752	1311
741	3759	1307
742	3763	1301
743	3767	1296
744	3771	1290
745	3776	1285
746	3780	1280
747	3784	1274
748	3788	1269
749	3793	1264
750	3797	1258
751	3800	1253
752	3806	1248
753	3811	1243
754	3815	1238
755	3820	1233
756	3825	1228
757	3829	1222
758	3833	1217
759	3838	1212
760	3843	1207
761	3846	1201
762	3850	1196
763	3856	1191
764	3861	1186
765	3865	1180
766	3871	1175
767	3875	1170
768	3879	1165
769	3884	1160
770	3890	1155
771	3894	1150
772	3898	1144
773	3904	1139
774	3908	1134
775	3911	1129
776	3915	1123
777	3921	1119
778	3925	1113
779	3929	1108
780	3933	1103
781	3938	1097
782	3942	1092
783	3946	1087
784	3953	1082
785	3958	1077
786	3962	1072
787	3967	1067
788	3971	1062
789	3975	1056
790	3978	1051
791	3986	1047
792	3990	1041
793	3993	1036
794	3998	1031
795	4003	1026
796	4007	1020
797	4011	1015
798	4015	1010
799	4020	1005
800	4024	999
801	4028	994
802	4034	989
803	4038	984
804	4042	979
805	4045	973
806	4052	969
807	4057	964
808	4061	958
809	4067	954
810	4071	948
811	4075	943
812	4080	938
813	4085	933
814	4089	928
815	4092	922
816	4097	917
817	4102	912
818	4106	907
819	4109	902
820	4115	897
821	4119	892
822	4123	886
823	4127	881
824	4134	877
825	4138	871
826	4145	867
827	4152	862
828	4158	857
829	4166	853
830	4170	848
831	4174	842
832	4180	838
833	4184	832
834	4188	827
835	4192	822
836	4197	817
837	4201	812
838	4205	806
839	4211	802
840	4216	797
841	4219	791
842	4224	786
843	4228	781
844	4232	776
845	4236	771
846	4241	766
847	4246	761
848	4250	755
849	4253	750
850	4260	745
851	4265	740
852	4269	735
853	4273	730
854	4279	725
855	4282	720
856	4286	715
857	4292	710
858	4296	705
859	4300	700
860	4303	694
861	4310	690
862	4314	684
863	4318	679
864	4323	674
865	4327	669
866	4331	664
867	4336	659
868	4343	654
869	4347	649
870	4350	644
871	4357	639
872	4363	634
873	4367	629
874	4372	624
875	4376	619
876	4383	614
877	4387	609
878	4392	604
879	4396	599
880	4400	594
881	4406	589
882	4410	584
883	4414	579
884	4419	574
885	4424	569
886	4428	564
887	4432	559
888	4438	554
889	4442	549
890	4446	543
891	4451	538
892	4457	534
893	4462	529
894	4466	523
895	4471	518
896	4475	513
897	4478	508
898	4482	503
899	4487	498
900	4491	493
901	4494	488
902	4498	483
903	4503	478
904	4507	473
905	4511	468
906	4516	463
907	4523	458
908	4528	453
909	4535	448
910	4540	443
911	4544	438
912	4553	433
913	4558	428
914	4561	423
915	4567	418
916	4571	413
917	4575	408
918	4579	403
919	4586	398
920	4589	393
921	4593	388
922	4599	383
923	4603	378
924	4607	373
925	4611	368
926	4617	363
927	4621	358
928	4625	353
929	4631	348
930	4635	343
931	4639	338
932	4643	333
933	4648	328
934	4652	323
935	4656	318
936	4659	313
937	4665	308
938	4670	303
939	4674	298
940	4679	293
941	4684	288
942	4688	283
943	4693	278
944	4698	273
945	4703	268
946	4707	263
947	4713	258
948	4717	253
949	4720	248
950	4725	243
951	4730	238
952	4734	233
953	4737	228
954	4741	223
955	4746	218
956	4750	213
957	4754	208
958	4762	203
959	4769	198
960	4773	193
961	4779	188
962	4783	183
963	4786	178
964	4790	173
965	4795	168
966	4799	163
967	4803	158
968	4809	153
969	4812	148
970	4816	143
971	4819	138
972	4823	133
973	4828	128
974	4831	123
975	4835	118
976	4839	113
977	4843	108
978	4846	103
979	4849	98
980	4853	93
981	4859	89
982	4863	84
983	4866	79
984	4870	74
985	4874	69
986	4878	64
987	4881	59
988	4884	54
989	4888	49
990	4892	44
991	4895	39
992	4899	34
993	4902	29
994	4905	24
995	4908	19
996	4912	14
997	4915	9
998	4919	4
999	4923	0
9	0
