iter	Logloss
0	0.6896875431
1	0.6868456593
2	0.6840911739
3	0.6814919971
4	0.678486235
5	0.6757800912
6	0.6733854903
7	0.6710998406
8	0.6688505516
9	0.6664081266
10	0.664285545
11	0.662054621
12	0.6602039758
13	0.6577917404
14	0.6557499741
15	0.6536921886
16	0.6515148164
17	0.6497733715
18	0.6478995623
19	0.6460866233
20	0.644455364
21	0.6430820122
22	0.6411572191
23	0.6395764636
24	0.6379596786
25	0.6359236378
26	0.6340785681
27	0.6322094089
28	0.6308436887
29	0.6293505455
30	0.6279550877
31	0.6262256911
32	0.6249113761
33	0.6233737368
34	0.6218516804
35	0.6207116296
36	0.619502732
37	0.6182267404
38	0.6166490764
39	0.615429761
40	0.6141907863
41	0.6128223323
42	0.6116804566
43	0.6104857613
44	0.6094969286
45	0.6083502079
46	0.6072114332
47	0.6063718709
48	0.6051936398
49	0.6041016907
50	0.6030064786
51	0.6022301839
52	0.6014719039
53	0.6006830389
54	0.5998197024
55	0.5989509875
56	0.5983485636
57	0.5972956241
58	0.5965048857
59	0.5958325502
60	0.5948401763
61	0.5941219485
62	0.5933152752
63	0.5926764053
64	0.5918517106
65	0.5909410122
66	0.5901875549
67	0.5894224926
68	0.588453433
69	0.5875752688
70	0.5868651567
71	0.5862373936
72	0.5856291339
73	0.5848207792
74	0.5842836423
75	0.5838365096
76	0.5832798087
77	0.5827826705
78	0.5823250999
79	0.5816858872
80	0.5811186316
81	0.5804330229
82	0.5799328097
83	0.5795385221
84	0.5791173811
85	0.5784637568
86	0.5780501865
87	0.5775744597
88	0.5770369104
89	0.5765428739
90	0.5760794476
91	0.575432615
92	0.5749983474
93	0.5742910584
94	0.573795585
95	0.5733570768
96	0.572870445
97	0.57236839
98	0.5718340409
99	0.5713316817
100	0.5709646172
101	0.570498096
102	0.5699731568
103	0.5696280081
104	0.5692279724
105	0.5687857332
106	0.5682815969
107	0.5678397984
108	0.56740875
109	0.5670926519
110	0.5666786958
111	0.5663861189
112	0.5660520609
113	0.5653912615
114	0.565031026
115	0.5645654869
116	0.5641610576
117	0.5637041569
118	0.5633699317
119	0.5629492169
120	0.5624935828
121	0.562115921
122	0.5617194594
123	0.5613753792
124	0.5610465317
125	0.5608540111
126	0.5604459137
127	0.560040101
128	0.5597130872
129	0.5592510301
130	0.5588639966
131	0.5585948993
132	0.5583621678
133	0.5580479784
134	0.5577614729
135	0.5575740148
136	0.5572374298
137	0.5570156001
138	0.5567125023
139	0.5564801825
140	0.5561392469
141	0.5558031862
142	0.5555193009
143	0.5551755014
144	0.5549231496
145	0.5545907864
146	0.5542237761
147	0.5539451802
148	0.5536013614
149	0.5532849096
150	0.5530145455
151	0.5527640077
152	0.5524842777
153	0.5521422632
154	0.5517209204
155	0.551459565
156	0.551129351
157	0.5508108454
158	0.5505168781
159	0.5501927321
160	0.5499496189
161	0.5497158301
162	0.5493856689
163	0.5491202559
164	0.5487944591
165	0.548587745
166	0.5484472021
167	0.5480706446
168	0.547904433
169	0.5477036135
170	0.5474756118
171	0.5471397701
172	0.5468391597
173	0.5466451756
174	0.5463242292
175	0.5461448665
176	0.5460260935
177	0.5457246512
178	0.5455345968
179	0.5452334414
180	0.5449693706
181	0.5447353187
182	0.5445665567
183	0.5442165088
184	0.5439934196
185	0.5438184618
186	0.5435161088
187	0.5432300812
188	0.5429324964
189	0.5427185476
190	0.5425673679
191	0.5423172873
192	0.5420640251
193	0.5417866446
194	0.5414011183
195	0.5410634272
196	0.5407791427
197	0.5406224701
198	0.5402482655
199	0.5400287039
200	0.5398235466
201	0.5395686539
202	0.5393816739
203	0.5389713875
204	0.5387196365
205	0.5386205155
206	0.5383488026
207	0.5381758204
208	0.5379536196
209	0.5377295993
210	0.5375244277
211	0.5373538653
212	0.5371265501
213	0.536895075
214	0.5367091779
